CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0137,0.9998431574475513,C0152,0.9996788628150972,C0107,0.9764213847321597
C0002,C0142,0.9794355810777957,C0043,0.9761929886744757,C0088,0.9664989118241063
C0003,C0133,0.9906661649256744,C0052,0.9814798143299084,C0112,0.9467850527491722
C0004,C0067,0.9977266453861323,C0108,0.9814563062925508,C0113,0.9810726732198976
C0005,C0159,0.9995346530683139,C0123,0.9805354919986916,C0186,0.978875631116719
C0006,C0168,0.9750031254596764,C0158,0.9713337294693247,C0016,0.9546590486123833
C0007,C0070,0.9868693628312927,C0135,0.9854576552929929,C0140,0.9764015172508639
C0008,C0139,0.9810812581115065,C0194,0.9783436826419456,C0109,0.9679656013795732
C0009,C0010,0.9895772871187817,C0060,0.9870895159976675,C0199,0.9809483331282736
C0010,C0199,0.9936361607236679,C0009,0.9895772871187817,C0121,0.9839456316934405
C0011,C0107,0.9965436761109666,C0048,0.995859011419106,C0152,0.9623141593495147
C0012,C0155,0.9984156393294151,C0108,0.9867604785459734,C0102,0.9809967906846356
C0013,C0087,0.9896128834995029,C0188,0.9866282930491607,C0099,0.985689875090704
C0014,C0198,0.992037761296042,C0060,0.9753616024801074,C0062,0.9750575808683581
C0015,C0036,0.9956295386942637,C0131,0.9902818955272381,C0144,0.9872864824633234
C0016,C0183,0.9995883352443382,C0171,0.9980223474115084,C0187,0.9917020744866769
C0017,C0124,0.9876312859456086,C0175,0.9745109561737008,C0075,0.9714399420129326
C0018,C0096,0.9834347245866504,C0148,0.9573342226735126,C0168,0.9490236188889981
C0019,C0172,0.9999928605465445,C0111,0.9572993803041856,C0119,0.9529084161802764
C0020,C0042,0.9861390437692281,C0176,0.9842904315721126,C0125,0.915858210462839
